genre;game_id
Tactical;311
Shooter;313
Simulator;313
Strategy;313
Tactical;313
Shooter;314
Tactical;314
Shooter;316
Strategy;316
Tactical;316
Role-playing (RPG);318
Shooter;319
Strategy;319
Tactical;319
Shooter;320
Role-playing (RPG);320
Real Time Strategy (RTS);321
Strategy;321
Point-and-click;322
Adventure;322
Real Time Strategy (RTS);324
Strategy;324
Shooter;325
Role-playing (RPG);325
Shooter;326
Real Time Strategy (RTS);327
Strategy;327
Role-playing (RPG);328
Role-playing (RPG);329
Real Time Strategy (RTS);331
Simulator;331
Strategy;331
Shooter;333
Simulator;334
Strategy;334
Shooter;335
Shooter;336
Adventure;336
Platform;337
Puzzle;337
Adventure;337
Shooter;338
Real Time Strategy (RTS);340
Strategy;340
Platform;341
Puzzle;341
Role-playing (RPG);341
Adventure;341
Shooter;342
Shooter;343
Shooter;344
Adventure;344
Shooter;348
Shooter;349
Shooter;350
Shooter;351
Shooter;352
Simulator;352
Strategy;352
Adventure;352
Shooter;353
Shooter;354
Shooter;355
Shooter;356
Shooter;357
Simulator;357
Fighting;359
Role-playing (RPG);359
Adventure;359
Fighting;360
Platform;360
Shooter;361
Adventure;361
Role-playing (RPG);362
Strategy;362
Turn-based strategy (TBS);362
Role-playing (RPG);363
Strategy;363
Turn-based strategy (TBS);363
Role-playing (RPG);364
Strategy;364
Turn-based strategy (TBS);364
Role-playing (RPG);367
Strategy;367
Turn-based strategy (TBS);367
Role-playing (RPG);370
Strategy;370
Turn-based strategy (TBS);370
Role-playing (RPG);373
Strategy;373
Turn-based strategy (TBS);373
Strategy;375
Adventure;375
Adventure;376
Shooter;378
Strategy;378
Hack and slash/Beat 'em up;378
Adventure;378
Shooter;379
Tactical;379
Adventure;379
Shooter;380
Tactical;380
Adventure;380
Adventure;381
Shooter;382
Strategy;382
Role-playing (RPG);383
Adventure;383
Role-playing (RPG);384
Adventure;384
Role-playing (RPG);386
Strategy;386
Adventure;386
Role-playing (RPG);388
Role-playing (RPG);389
Adventure;389
Racing;390
Arcade;390
Fighting;391
Role-playing (RPG);391
Hack and slash/Beat 'em up;391
Adventure;391
Role-playing (RPG);392
Strategy;392
Adventure;392
Role-playing (RPG);393
Adventure;393
Role-playing (RPG);394
Simulator;394
Strategy;394
Turn-based strategy (TBS);394
Tactical;394
Adventure;394
Role-playing (RPG);395
Role-playing (RPG);397
Role-playing (RPG);398
Adventure;398
Role-playing (RPG);399
Adventure;399
Role-playing (RPG);400
Role-playing (RPG);401
Adventure;401
Role-playing (RPG);402
Adventure;402
Role-playing (RPG);405
Strategy;405
Adventure;405
Role-playing (RPG);406
Role-playing (RPG);408
Role-playing (RPG);409
Adventure;409
Role-playing (RPG);411
Adventure;411
Role-playing (RPG);412
Simulator;412
Strategy;412
Role-playing (RPG);413
Adventure;413
Role-playing (RPG);414
Strategy;414
Turn-based strategy (TBS);414
Tactical;414
Role-playing (RPG);416
Adventure;416
Role-playing (RPG);417
Adventure;417
Role-playing (RPG);418
Adventure;418
Role-playing (RPG);420
Adventure;420
Role-playing (RPG);421
Turn-based strategy (TBS);421
Adventure;421
Racing;422
Role-playing (RPG);423
Adventure;423
Adventure;424
Role-playing (RPG);425
Adventure;425
Role-playing (RPG);427
Adventure;427
Role-playing (RPG);428
Strategy;428
Turn-based strategy (TBS);428
Tactical;428
Shooter;429
Shooter;430
Adventure;430
Shooter;431
Platform;431
Adventure;431
Real Time Strategy (RTS);432
Simulator;432
Strategy;432
Turn-based strategy (TBS);432
Tactical;432
Shooter;433
Shooter;434
Role-playing (RPG);434
Adventure;434
Real Time Strategy (RTS);436
Strategy;436
Turn-based strategy (TBS);436
Tactical;436
Real Time Strategy (RTS);437
Strategy;437
Turn-based strategy (TBS);437
Tactical;437
Real Time Strategy (RTS);438
Simulator;438
Strategy;438
Turn-based strategy (TBS);438
Tactical;438
Hack and slash/Beat 'em up;439
Real Time Strategy (RTS);440
Simulator;440
Strategy;440
Turn-based strategy (TBS);440
Tactical;440
Real Time Strategy (RTS);441
Strategy;441
Turn-based strategy (TBS);441
Tactical;441
Real Time Strategy (RTS);442
Strategy;442
Turn-based strategy (TBS);442
Tactical;442
Shooter;450
Simulator;450
Strategy;450
Shooter;451
Puzzle;451
Simulator;451
Strategy;451
Tactical;451
Fighting;455
Real Time Strategy (RTS);457
Strategy;457
Point-and-click;461
Adventure;461
Point-and-click;462
