game_id;company_id
21779;26
23981;26
24069;26
24400;26
24403;26
24404;26
24479;26
24854;26
24931;26
25739;26
26765;26
27410;26
27720;26
27737;26
27939;26
27979;26
28002;26
28365;26
31559;26
36689;26
36752;26
37193;26
37291;26
44083;26
44101;26
44529;26
54548;26
54550;26
55034;26
55035;26
55092;26
68287;26
68382;26
69180;26
74384;26
76163;26
76430;26
77766;26
80877;26
81143;26
89556;26
95923;26
108156;26
109275;26
109276;26
109461;26
109465;26
110069;26
111757;26
112412;26
115277;26
115670;26
115861;26
119057;26
119215;26
119391;26
4;27
43;27
9498;27
9533;27
9740;27
24465;27
37777;27
46713;27
47412;27
75568;27
75569;27
110844;27
113987;27
113988;27
115200;27
116800;27
117274;27
118891;27
53;28
54;28
55;28
2404;28
8413;28
8414;28
19532;28
22431;28
113996;28
43853;29
59587;29
59848;29
59849;29
86868;29
88952;29
109;30
1943;30
9587;30
47398;30
221;32
309;32
861;32
1252;32
2223;32
2912;32
7528;32
111;36
2045;36
8944;36
8945;36
9727;36
15534;36
25082;36
27840;36
112;37
134;37
135;37
136;37
243;37
424;37
496;37
497;37
847;37
880;37
884;37
966;37
967;37
969;37
973;37
975;37
976;37
977;37
978;37
1032;37
1035;37
1041;37
1082;37
1280;37
1348;37
1402;37
1426;37
1427;37
1428;37
1429;37
1430;37
1431;37
1432;37
1657;37
1663;37
1721;37
1723;37
1724;37
1725;37
1726;37
1739;37
1740;37
1743;37
1744;37
1746;37
1749;37
1750;37
1756;37
1759;37
1762;37
1767;37
1771;37
1774;37
1781;37
1782;37
1783;37
1784;37
1785;37
1786;37
1787;37
1913;37
1915;37
1969;37
2066;37
2264;37
2271;37
2904;37
3027;37
3398;37
3773;37
3846;37
3885;37
3936;37
3964;37
3968;37
4135;37
4355;37
5150;37
5316;37
5845;37
5856;37
5923;37
6078;37
6200;37
6381;37
6440;37
6526;37
6592;37
6656;37
6702;37
6703;37
6704;37
6708;37
6709;37
6710;37
6895;37
6933;37
7075;37
7198;37
7455;37
7725;37
8244;37
8245;37
8246;37
8247;37
8248;37
8254;37
8258;37
10614;37
11757;37
11758;37
12077;37
12530;37
12937;37
13095;37
13096;37
13106;37
14679;37
14680;37
14929;37
16300;37
18055;37
18181;37
19562;37
19686;37
19754;37
20011;37
20013;37
20022;37
20747;37
20803;37
21533;37
21610;37
21724;37
22049;37
22568;37
22993;37
23251;37
23907;37
24347;37
24369;37
24869;37
25623;37
26197;37
26384;37
26773;37
26901;37
26924;37
26985;37
27040;37
27395;37
27791;37
27890;37
36926;37
38297;37
39313;37
42489;37
42759;37
42976;37
43311;37
43668;37
45198;37
45854;37
46815;37
50654;37
53505;37
53678;37
61752;37
63065;37
63628;37
63644;37
65676;37
65896;37
66122;37
66123;37
68126;37
68160;37
72563;37
72578;37
72783;37
74155;37
75236;37
