id;name;aggregated_rating;first_release_date
298;Glory of the Roman Empire;56.6666666666667;1151280000
299;Age of Empires III;78.25;1129593600
300;Anno 1503;;1048377600
301;Microsoft Flight Simulator X;79.6666666666667;1160438400
302;Empire Earth;;1005523200
303;Anno 1602: Creation of a New World;;906595200
304;Dungeon Lords;64.0;1115251200
305;Cossacks II: Napoleonic Wars;65.0;1113523200
306;Far Cry;87.5;1080000000
307;Counter-Strike: Source;90.0;1099267200
308;Black & White;;985478400
309;Police Quest: SWAT;37.0;812419200
310;Sid Meier's Civilization III;;1004400000
311;Police Quest: SWAT 2;;899164800
312;Doom II: Hell on Earth;84.3333333333333;780883200
313;SWAT 3: Close Quarters Battle;;943315200
314;SWAT: Global Strike Team;64.5;1067299200
316;SWAT 4;85.0;1112659200
318;Ragnarok Online;;1030752000
319;SWAT: Target Liberty;51.3333333333333;1192492800
320;S.T.A.L.K.E.R.: Shadow of Chernobyl;80.0;1174348800
321;Command & Conquer 3: Tiberium Wars;84.5;1175040000
322;Blade Runner;;878256000
324;Age of Mythology;75.6666666666667;1035936000
325;Hellgate: London;70.0;1193788800
326;Medal of Honor: Allied Assault;80.0;1011657600
327;Age of Empires II: The Age of Kings;80.0;938649600
328;Sacred;85.0;1079654400
329;Dungeon Siege;72.0;1017964800
330;SimCity 2000;71.0;757296000
331;RollerCoaster Tycoon 2;60.0;1034640000
332;Monopoly;71.0;788918400
333;Quake;;835401600
334;Zoo Tycoon;68.3333333333333;998870400
335;Battlefield Vietnam;80.0;1079222400
336;Crysis Warhead;76.6666666666667;1221696000
337;American McGee's Alice;;976060800
338;Half-Life 2: Episode One;86.5;1149120000
340;Command & Conquer: Tiberian Sun;;935107200
341;Harry Potter and the Sorcerer's Stone;64.0;1005782400
342;Duke Nukem 3D;75.3333333333333;822873600
343;Battlefield 3;85.0;1319500800
344;Codename Eagle;40.0;941414400
348;Battlefield 2: Modern Combat;80.5;1130112000
349;Battlefield 2142;79.75;1161043200
350;Battlefield Heroes;70.0;1245888000
351;Battlefield 1943;85.0;1247011200
352;Battlefield: Bad Company 2;89.5;1267488000
353;Battlefield Online;;1269475200
354;Battlefield Play4Free;;1301875200
355;Quake III Arena;86.6666666666667;944092800
356;Quake 4;74.5;1129593600
357;Tachyon: The Fringe;70.0;954374400
359;Final Fantasy XV;81.44;1480377600
360;Donald Duck: Goin' Quackers;62.0;973728000
361;Far Cry 2;85.0;1224547200
362;Heroes of Might and Magic: A Strategic Quest;75.0;809827200
363;Heroes of Might and Magic II: The Succession Wars;;844128000
364;Heroes of Might and Magic III: The Restoration of Erathia;91.0;920160000
367;Heroes of Might and Magic IV;74.0;1017273600
370;Heroes of Might and Magic V;81.6666666666667;1147737600
373;Might & Magic: Heroes VI;77.6666666666667;1318464000
375;Metal Gear Solid;80.0;904780800
376;Metal Gear Solid 2: Sons of Liberty;90.0;1005609600
378;Metal Gear Rising: Revengeance;84.7647058823529;1361232000
379;Metal Gear Solid 3: Snake Eater;85.5;1100649600
380;Metal Gear Solid 4: Guns of the Patriots;93.875;1213228800
381;Metal Gear Solid: Portable Ops;90.0;1165276800
382;Metal Gear Solid: Peace Walker;93.25;1272499200
383;Final Fantasy Type-0;64.0;1293840000
384;Final Fantasy XIII-2;74.7272727272727;1323907200
386;Final Fantasy XIV: A Realm Reborn;85.3333333333333;1377561600
388;Final Fantasy IV: The After Years;60.0;1243814400
389;Final Fantasy XIII;81.3636363636364;1261008000
390;Lego Racers 2;70.0;999561600
391;Dissidia Final Fantasy;86.0;1229558400
392;Final Fantasy XII: Revenant Wings;83.3333333333333;1177545600
393;Final Fantasy III;63.75;1156377600
394;Final Fantasy Tactics: The War of the Lions;;1178582400
395;Final Fantasy II Anniversary Edition;;1167609600
397;Final Fantasy Anniversary Edition;60.0;1167609600
398;Final Fantasy XII;90.75;1142467200
399;Final Fantasy IV;82.5;1198108800
400;Final Fantasy III DS;;1156377600
401;Final Fantasy Crystal Chronicles: The Crystal Bearers;70.0;1257984000
402;Final Fantasy XI: Wings of the Goddess;;1195516800
